vehicle_id,make,model,engine_type,battery_kwh,max_charge_kw,model_year
EV000530,Aurex,Lumen LR,BEV,77,150,2022
EV000531,Marden,Ridge XL,BEV,105,250,2026
EV000532,Aurex,Lumen,BEV,58,120,2025
EV000533,Vantor,Arc PHV,PHEV,11,7,2023
EV000534,Selva,Corta+,BEV,52,100,2026
EV000535,Selva,Corta+,BEV,52,100,2020
EV000536,Vantor,Arc GT,BEV,91,220,2024
EV000537,Marden,Ridge XL,BEV,105,250,2022
EV000538,Aurex,Lumen,BEV,58,120,2021
EV000539,Aurex,Lumen,BEV,58,120,2026
EV000540,Selva,Corta,BEV,42,85,2022
EV000541,Vantor,Arc,BEV,64,135,2023
EV000542,Vantor,Arc GT,BEV,91,220,2019
EV000543,Selva,Corta,BEV,42,85,2020
EV000544,Aurex,Lumen,BEV,58,120,2020
EV000545,Marden,Ridge PHV,PHEV,18,7,2024
EV000546,Marden,Ridge,BEV,82,175,2025
EV000547,Aurex,Lumen,BEV,58,120,2022
EV000548,Marden,Ridge,BEV,82,175,2022
EV000549,Selva,Corta,BEV,42,85,2024
EV000550,Marden,Ridge,BEV,82,175,2025
EV000551,Marden,Ridge,BEV,82,175,2025
EV000552,Marden,Ridge PHV,PHEV,18,7,2024
EV000553,Aurex,Lumen LR,BEV,77,150,2019
EV000554,Marden,Ridge PHV,PHEV,18,7,2023
EV000555,Selva,Corta,BEV,42,85,2020
EV000556,Aurex,Lumen LR,BEV,77,150,2025
EV000557,Vantor,Arc GT,BEV,91,220,2023
EV000558,Vantor,Arc GT,BEV,91,220,2022
EV000559,Aurex,Lumen PHV,PHEV,14,7,2019
EV000560,Selva,Corta,BEV,42,85,2024
EV000561,Aurex,Lumen,BEV,58,120,2023
EV000562,Marden,Ridge,BEV,82,175,2022
EV000563,Selva,Corta,BEV,42,85,2020
EV000564,Marden,Ridge XL,BEV,105,250,2021
EV000565,Aurex,Lumen,BEV,58,120,2025
EV000566,Marden,Ridge XL,BEV,105,250,2025
EV000567,Aurex,Lumen PHV,PHEV,14,7,2025
EV000568,Aurex,Lumen,BEV,58,120,2019
EV000569,Selva,Corta,BEV,42,85,2020
EV000570,Aurex,Lumen LR,BEV,77,150,2026
EV000571,Selva,Corta,BEV,42,85,2019
EV000572,Aurex,Lumen,BEV,58,120,2026
EV000573,Aurex,Lumen PHV,PHEV,14,7,2024
EV000574,Aurex,Lumen LR,BEV,77,150,2025
EV000575,Marden,Ridge,BEV,82,175,2022
EV000576,Marden,Ridge,BEV,82,175,2022
EV000577,Vantor,Arc,BEV,64,135,2021
EV000578,Aurex,Lumen LR,BEV,77,150,2022
EV000579,Vantor,Arc PHV,PHEV,11,7,2026
EV000580,Aurex,Lumen,BEV,58,120,2022
EV000581,Vantor,Arc,BEV,64,135,2019
EV000582,Vantor,Arc GT,BEV,91,220,2022
EV000583,Selva,Corta+,BEV,52,100,2019
EV000584,Vantor,Arc GT,BEV,91,220,2020
EV000585,Aurex,Lumen LR,BEV,77,150,2020
EV000586,Selva,Corta+,BEV,52,100,2025
EV000587,Marden,Ridge,BEV,82,175,2021
EV000588,Marden,Ridge,BEV,82,175,2026
EV000589,Selva,Corta,BEV,42,85,2024
EV000590,Vantor,Arc,BEV,64,135,2023
EV000591,Aurex,Lumen,BEV,58,120,2020
EV000592,Selva,Corta,BEV,42,85,2025
EV000593,Selva,Corta+,BEV,52,100,2024
EV000594,Selva,Corta,BEV,42,85,2021
EV000595,Selva,Corta PHV,PHEV,9,4,2021
EV000596,Aurex,Lumen LR,BEV,77,150,2025
EV000597,Marden,Ridge XL,BEV,105,250,2024
EV000598,Marden,Ridge,BEV,82,175,2026
EV000599,Aurex,Lumen PHV,PHEV,14,7,2023
EV000600,Vantor,Arc PHV,PHEV,11,7,2024
EV000601,Vantor,Arc,BEV,64,135,2025
EV000602,Vantor,Arc PHV,PHEV,11,7,2026
EV000603,Vantor,Arc GT,BEV,91,220,2020
EV000604,Marden,Ridge,BEV,82,175,2024
EV000605,Selva,Corta PHV,PHEV,9,4,2022
EV000606,Selva,Corta+,BEV,52,100,2024
EV000607,Selva,Corta+,BEV,52,100,2019
EV000608,Aurex,Lumen,BEV,58,120,2022
EV000609,Selva,Corta+,BEV,52,100,2026
EV000610,Vantor,Arc,BEV,64,135,2019
EV000611,Vantor,Arc GT,BEV,91,220,2020
EV000612,Vantor,Arc GT,BEV,91,220,2020
EV000613,Marden,Ridge PHV,PHEV,18,7,2025
EV000614,Selva,Corta+,BEV,52,100,2025
EV000615,Marden,Ridge,BEV,82,175,2023
EV000616,Aurex,Lumen LR,BEV,77,150,2020
EV000617,Vantor,Arc,BEV,64,135,2026
EV000618,Aurex,Lumen PHV,PHEV,14,7,2024
EV000619,Aurex,Lumen LR,BEV,77,150,2022
EV000620,Selva,Corta PHV,PHEV,9,4,2020
EV000621,Vantor,Arc GT,BEV,91,220,2023
EV000622,Vantor,Arc GT,BEV,91,220,2025
EV000623,Selva,Corta,BEV,42,85,2021
EV000624,Selva,Corta,BEV,42,85,2026
EV000625,Selva,Corta,BEV,42,85,2025
EV000626,Vantor,Arc GT,BEV,91,220,2023
EV000627,Marden,Ridge,BEV,82,175,2023
EV000628,Vantor,Arc,BEV,64,135,2019
EV000629,Aurex,Lumen LR,BEV,77,150,2019
EV000630,Vantor,Arc GT,BEV,91,220,2024
EV000631,Aurex,Lumen,BEV,58,120,2019
EV000632,Selva,Corta,BEV,42,85,2022
EV000633,Selva,Corta,BEV,42,85,2020
EV000634,Marden,Ridge XL,BEV,105,250,2025
EV000635,Aurex,Lumen LR,BEV,77,150,2025
EV000636,Vantor,Arc GT,BEV,91,220,2020
EV000637,Marden,Ridge XL,BEV,105,250,2022
EV000638,Vantor,Arc GT,BEV,91,220,2021
EV000639,Marden,Ridge XL,BEV,105,250,2019
EV000640,Marden,Ridge,BEV,82,175,2026
EV000641,Aurex,Lumen,BEV,58,120,2024
EV000642,Vantor,Arc GT,BEV,91,220,2025
EV000643,Marden,Ridge XL,BEV,105,250,2021
EV000644,Selva,Corta,BEV,42,85,2026
EV000645,Marden,Ridge,BEV,82,175,2019
EV000646,Marden,Ridge PHV,PHEV,18,7,2023
EV000647,Marden,Ridge,BEV,82,175,2019
EV000648,Selva,Corta+,BEV,52,100,2024
EV000649,Marden,Ridge XL,BEV,105,250,2023
EV000650,Vantor,Arc GT,BEV,91,220,2026
EV000651,Aurex,Lumen,BEV,58,120,2025
EV000652,Vantor,Arc,BEV,64,135,2024
EV000653,Selva,Corta+,BEV,52,100,2022
EV000654,Selva,Corta PHV,PHEV,9,4,2019
EV000655,Selva,Corta+,BEV,52,100,2026
EV000656,Vantor,Arc,BEV,64,135,2020
EV000657,Marden,Ridge PHV,PHEV,18,7,2019
EV000658,Vantor,Arc GT,BEV,91,220,2019
EV000659,Vantor,Arc,BEV,64,135,2025
EV000660,Selva,Corta+,BEV,52,100,2019
EV000661,Vantor,Arc GT,BEV,91,220,2021
EV000662,Aurex,Lumen LR,BEV,77,150,2019
EV000663,Marden,Ridge,BEV,82,175,2025
EV000664,Marden,Ridge,BEV,82,175,2022
EV000665,Marden,Ridge PHV,PHEV,18,7,2024
EV000666,Aurex,Lumen LR,BEV,77,150,2023
EV000667,Vantor,Arc PHV,PHEV,11,7,2023
EV000668,Marden,Ridge XL,BEV,105,250,2025
EV000669,Vantor,Arc,BEV,64,135,2025
EV000670,Selva,Corta,BEV,42,85,2022
EV000671,Selva,Corta+,BEV,52,100,2020
EV000672,Vantor,Arc,BEV,64,135,2020
EV000673,Aurex,Lumen,BEV,58,120,2019
EV000674,Marden,Ridge XL,BEV,105,250,2026
EV000675,Aurex,Lumen LR,BEV,77,150,2021
EV000676,Selva,Corta,BEV,42,85,2026
EV000677,Selva,Corta,BEV,42,85,2023
EV000678,Vantor,Arc PHV,PHEV,11,7,2026
EV000679,Selva,Corta+,BEV,52,100,2023
EV000680,Vantor,Arc GT,BEV,91,220,2019
EV000681,Marden,Ridge PHV,PHEV,18,7,2025
EV000682,Vantor,Arc GT,BEV,91,220,2023
EV000683,Marden,Ridge,BEV,82,175,2020
EV000684,Vantor,Arc,BEV,64,135,2024
EV000685,Marden,Ridge,BEV,82,175,2020
EV000686,Marden,Ridge,BEV,82,175,2023
EV000687,Marden,Ridge XL,BEV,105,250,2025
EV000688,Selva,Corta,BEV,42,85,2020
EV000689,Vantor,Arc,BEV,64,135,2023
EV000690,Selva,Corta+,BEV,52,100,2026
EV000691,Vantor,Arc PHV,PHEV,11,7,2025
EV000692,Vantor,Arc,BEV,64,135,2023
EV000693,Aurex,Lumen,BEV,58,120,2019
EV000694,Aurex,Lumen LR,BEV,77,150,2019
EV000695,Vantor,Arc PHV,PHEV,11,7,2020
EV000696,Aurex,Lumen,BEV,58,120,2021
EV000697,Aurex,Lumen,BEV,58,120,2023
EV000698,Aurex,Lumen,BEV,58,120,2024
EV000699,Aurex,Lumen PHV,PHEV,14,7,2024
EV000700,Vantor,Arc GT,BEV,91,220,2020
EV000701,Marden,Ridge,BEV,82,175,2021
EV000702,Marden,Ridge,BEV,82,175,2025
EV000703,Vantor,Arc GT,BEV,91,220,2025
EV000704,Marden,Ridge,BEV,82,175,2020
EV000705,Selva,Corta,BEV,42,85,2020
EV000706,Selva,Corta,BEV,42,85,2022
EV000707,Vantor,Arc,BEV,64,135,2021
EV000708,Aurex,Lumen,BEV,58,120,2021
EV000709,Selva,Corta+,BEV,52,100,2022
EV000710,Vantor,Arc,BEV,64,135,2020
EV000711,Vantor,Arc,BEV,64,135,2019
EV000712,Aurex,Lumen PHV,PHEV,14,7,2026
EV000713,Vantor,Arc GT,BEV,91,220,2023
EV000714,Aurex,Lumen,BEV,58,120,2021
EV000715,Selva,Corta+,BEV,52,100,2022
EV000716,Selva,Corta,BEV,42,85,2025
EV000717,Aurex,Lumen,BEV,58,120,2022
EV000718,Vantor,Arc GT,BEV,91,220,2026
EV000719,Selva,Corta+,BEV,52,100,2025
EV000720,Vantor,Arc,BEV,64,135,2021
EV000721,Marden,Ridge PHV,PHEV,18,7,2023
EV000722,Marden,Ridge XL,BEV,105,250,2019
EV000723,Selva,Corta,BEV,42,85,2022
EV000724,Vantor,Arc PHV,PHEV,11,7,2023
EV000725,Aurex,Lumen,BEV,58,120,2026
EV000726,Vantor,Arc,BEV,64,135,2020
EV000727,Vantor,Arc PHV,PHEV,11,7,2024
EV000728,Selva,Corta,BEV,42,85,2025
EV000729,Aurex,Lumen LR,BEV,77,150,2022
EV000730,Selva,Corta+,BEV,52,100,2020
EV000731,Marden,Ridge,BEV,82,175,2023
EV000732,Selva,Corta+,BEV,52,100,2024
EV000733,Aurex,Lumen,BEV,58,120,2022
EV000734,Aurex,Lumen,BEV,58,120,2019
EV000735,Vantor,Arc GT,BEV,91,220,2024
EV000736,Aurex,Lumen,BEV,58,120,2021
EV000737,Aurex,Lumen,BEV,58,120,2023
EV000738,Selva,Corta+,BEV,52,100,2020
EV000739,Selva,Corta,BEV,42,85,2024
EV000740,Aurex,Lumen,BEV,58,120,2025
EV000741,Aurex,Lumen PHV,PHEV,14,7,2019
EV000742,Vantor,Arc GT,BEV,91,220,2023
EV000743,Aurex,Lumen PHV,PHEV,14,7,2024
EV000744,Selva,Corta+,BEV,52,100,2024
EV000745,Selva,Corta+,BEV,52,100,2023
EV000746,Vantor,Arc GT,BEV,91,220,2019
EV000747,Marden,Ridge,BEV,82,175,2021
EV000748,Vantor,Arc,BEV,64,135,2021
EV000749,Vantor,Arc,BEV,64,135,2021
EV000750,Aurex,Lumen PHV,PHEV,14,7,2026
EV000751,Aurex,Lumen LR,BEV,77,150,2019
EV000752,Vantor,Arc GT,BEV,91,220,2023
EV000753,Marden,Ridge,BEV,82,175,2023
EV000754,Vantor,Arc GT,BEV,91,220,2025
EV000755,Vantor,Arc GT,BEV,91,220,2021
EV000756,Vantor,Arc PHV,PHEV,11,7,2023
EV000757,Aurex,Lumen LR,BEV,77,150,2023
EV000758,Vantor,Arc,BEV,64,135,2020
EV000759,Aurex,Lumen PHV,PHEV,14,7,2019
EV000760,Vantor,Arc,BEV,64,135,2026
EV000761,Vantor,Arc GT,BEV,91,220,2025
EV000762,Aurex,Lumen PHV,PHEV,14,7,2021
EV000763,Vantor,Arc,BEV,64,135,2022
EV000764,Marden,Ridge PHV,PHEV,18,7,2020
EV000765,Marden,Ridge XL,BEV,105,250,2019
EV000766,Marden,Ridge XL,BEV,105,250,2024
EV000767,Vantor,Arc,BEV,64,135,2023
EV000768,Aurex,Lumen LR,BEV,77,150,2019
EV000769,Marden,Ridge,BEV,82,175,2026
EV000770,Marden,Ridge XL,BEV,105,250,2025
EV000771,Vantor,Arc,BEV,64,135,2020
EV000772,Aurex,Lumen LR,BEV,77,150,2024
EV000773,Vantor,Arc,BEV,64,135,2024
EV000774,Aurex,Lumen LR,BEV,77,150,2022
EV000775,Vantor,Arc GT,BEV,91,220,2024
EV000776,Selva,Corta,BEV,42,85,2023
EV000777,Selva,Corta+,BEV,52,100,2022
EV000778,Aurex,Lumen,BEV,58,120,2022
EV000779,Aurex,Lumen LR,BEV,77,150,2022
EV000780,Aurex,Lumen LR,BEV,77,150,2019
EV000781,Vantor,Arc,BEV,64,135,2021
EV000782,Aurex,Lumen LR,BEV,77,150,2019
EV000783,Selva,Corta PHV,PHEV,9,4,2021
EV000784,Vantor,Arc GT,BEV,91,220,2021
EV000785,Aurex,Lumen LR,BEV,77,150,2025
EV000786,Marden,Ridge,BEV,82,175,2019
EV000787,Marden,Ridge PHV,PHEV,18,7,2022
EV000788,Marden,Ridge XL,BEV,105,250,2020
EV000789,Selva,Corta+,BEV,52,100,2025
EV000790,Vantor,Arc GT,BEV,91,220,2021
EV000791,Vantor,Arc GT,BEV,91,220,2022
EV000792,Vantor,Arc,BEV,64,135,2024
EV000793,Marden,Ridge XL,BEV,105,250,2025
EV000794,Marden,Ridge XL,BEV,105,250,2023
EV000795,Selva,Corta,BEV,42,85,2025
EV000796,Marden,Ridge XL,BEV,105,250,2020
EV000797,Marden,Ridge,BEV,82,175,2023
EV000798,Marden,Ridge,BEV,82,175,2025
EV000799,Vantor,Arc,BEV,64,135,2022
EV000800,Vantor,Arc,BEV,64,135,2025
EV000801,Vantor,Arc,BEV,64,135,2025
EV000802,Vantor,Arc PHV,PHEV,11,7,2024
EV000803,Marden,Ridge XL,BEV,105,250,2026
EV000804,Aurex,Lumen PHV,PHEV,14,7,2024
EV000805,Marden,Ridge XL,BEV,105,250,2021
EV000806,Marden,Ridge XL,BEV,105,250,2021
EV000807,Selva,Corta,BEV,42,85,2021
EV000808,Marden,Ridge XL,BEV,105,250,2025
EV000809,Aurex,Lumen LR,BEV,77,150,2026
EV000810,Marden,Ridge,BEV,82,175,2023
EV000811,Aurex,Lumen,BEV,58,120,2026
EV000812,Selva,Corta PHV,PHEV,9,4,2020
EV000813,Aurex,Lumen PHV,PHEV,14,7,2022
EV000814,Aurex,Lumen LR,BEV,77,150,2024
EV000815,Marden,Ridge XL,BEV,105,250,2020
EV000816,Marden,Ridge XL,BEV,105,250,2024
EV000817,Aurex,Lumen,BEV,58,120,2021
EV000818,Selva,Corta+,BEV,52,100,2023
EV000819,Vantor,Arc GT,BEV,91,220,2021
EV000820,Selva,Corta+,BEV,52,100,2022
EV000821,Aurex,Lumen PHV,PHEV,14,7,2022
EV000822,Marden,Ridge,BEV,82,175,2025
EV000823,Aurex,Lumen LR,BEV,77,150,2026
EV000824,Selva,Corta+,BEV,52,100,2024
EV000825,Selva,Corta+,BEV,52,100,2021
EV000826,Aurex,Lumen,BEV,58,120,2023
EV000827,Aurex,Lumen LR,BEV,77,150,2019
EV000828,Vantor,Arc GT,BEV,91,220,2019
EV000829,Aurex,Lumen LR,BEV,77,150,2023
EV000830,Vantor,Arc,BEV,64,135,2020
EV000831,Marden,Ridge,BEV,82,175,2026
EV000832,Selva,Corta PHV,PHEV,9,4,2026
EV000833,Selva,Corta,BEV,42,85,2020
EV000834,Selva,Corta+,BEV,52,100,2022
EV000835,Marden,Ridge XL,BEV,105,250,2023
EV000836,Marden,Ridge,BEV,82,175,2024
EV000837,Marden,Ridge,BEV,82,175,2025
EV000838,Aurex,Lumen,BEV,58,120,2020
EV000839,Aurex,Lumen PHV,PHEV,14,7,2023
EV000840,Aurex,Lumen LR,BEV,77,150,2023
EV000841,Aurex,Lumen LR,BEV,77,150,2019
EV000842,Selva,Corta,BEV,42,85,2023
EV000843,Selva,Corta+,BEV,52,100,2021
EV000844,Marden,Ridge,BEV,82,175,2025
EV000845,Vantor,Arc,BEV,64,135,2023
EV000846,Selva,Corta PHV,PHEV,9,4,2026
EV000847,Selva,Corta+,BEV,52,100,2020
EV000848,Marden,Ridge XL,BEV,105,250,2022
EV000849,Selva,Corta,BEV,42,85,2023
EV000850,Aurex,Lumen,BEV,58,120,2021
EV000851,Aurex,Lumen,BEV,58,120,2022
EV000852,Selva,Corta+,BEV,52,100,2020
EV000853,Vantor,Arc GT,BEV,91,220,2023
EV000854,Selva,Corta,BEV,42,85,2021
EV000855,Vantor,Arc,BEV,64,135,2024
EV000856,Aurex,Lumen LR,BEV,77,150,2022
EV000857,Selva,Corta,BEV,42,85,2023
EV000858,Vantor,Arc,BEV,64,135,2026
EV000859,Aurex,Lumen PHV,PHEV,14,7,2026
EV000860,Aurex,Lumen LR,BEV,77,150,2023
EV000861,Marden,Ridge PHV,PHEV,18,7,2023
EV000862,Marden,Ridge XL,BEV,105,250,2024
EV000863,Vantor,Arc GT,BEV,91,220,2022
EV000864,Marden,Ridge XL,BEV,105,250,2024
EV000865,Selva,Corta+,BEV,52,100,2019
EV000866,Selva,Corta,BEV,42,85,2019
EV000867,Marden,Ridge XL,BEV,105,250,2019
EV000868,Marden,Ridge XL,BEV,105,250,2020
EV000869,Aurex,Lumen LR,BEV,77,150,2020
EV000870,Vantor,Arc PHV,PHEV,11,7,2023
EV000871,Aurex,Lumen,BEV,58,120,2025
EV000872,Aurex,Lumen,BEV,58,120,2019
EV000873,Selva,Corta,BEV,42,85,2023
EV000874,Vantor,Arc,BEV,64,135,2020
EV000875,Vantor,Arc GT,BEV,91,220,2025
EV000876,Selva,Corta,BEV,42,85,2025
EV000877,Selva,Corta,BEV,42,85,2026
EV000878,Vantor,Arc PHV,PHEV,11,7,2024
EV000879,Vantor,Arc PHV,PHEV,11,7,2024
EV000880,Vantor,Arc GT,BEV,91,220,2020
EV000881,Vantor,Arc,BEV,64,135,2019
EV000882,Marden,Ridge,BEV,82,175,2019
EV000883,Aurex,Lumen LR,BEV,77,150,2025
EV000884,Vantor,Arc GT,BEV,91,220,2025
EV000885,Marden,Ridge,BEV,82,175,2022
EV000886,Aurex,Lumen,BEV,58,120,2022
EV000887,Marden,Ridge XL,BEV,105,250,2019
EV000888,Marden,Ridge,BEV,82,175,2021
EV000889,Vantor,Arc GT,BEV,91,220,2020
EV000890,Vantor,Arc,BEV,64,135,2024
EV000891,Selva,Corta,BEV,42,85,2020
EV000892,Vantor,Arc,BEV,64,135,2024
EV000893,Marden,Ridge XL,BEV,105,250,2025
EV000894,Selva,Corta+,BEV,52,100,2026
EV000895,Vantor,Arc,BEV,64,135,2023
EV000896,Marden,Ridge XL,BEV,105,250,2019
EV000897,Selva,Corta+,BEV,52,100,2024
EV000898,Aurex,Lumen LR,BEV,77,150,2025
EV000899,Vantor,Arc GT,BEV,91,220,2025
EV000900,Selva,Corta,BEV,42,85,2022
EV000901,Selva,Corta PHV,PHEV,9,4,2023
EV000902,Vantor,Arc,BEV,64,135,2020
EV000903,Selva,Corta,BEV,42,85,2020
EV000904,Marden,Ridge PHV,PHEV,18,7,2022
EV000905,Vantor,Arc GT,BEV,91,220,2022
EV000906,Marden,Ridge XL,BEV,105,250,2019
EV000907,Aurex,Lumen,BEV,58,120,2026
EV000908,Vantor,Arc GT,BEV,91,220,2019
EV000909,Aurex,Lumen LR,BEV,77,150,2020
EV000910,Aurex,Lumen PHV,PHEV,14,7,2019
EV000911,Selva,Corta+,BEV,52,100,2023
EV000912,Vantor,Arc,BEV,64,135,2024
EV000913,Aurex,Lumen,BEV,58,120,2025
EV000914,Vantor,Arc GT,BEV,91,220,2024
EV000915,Aurex,Lumen,BEV,58,120,2019
EV000916,Selva,Corta,BEV,42,85,2020
EV000917,Marden,Ridge,BEV,82,175,2024
EV000918,Vantor,Arc,BEV,64,135,2021
EV000919,Aurex,Lumen LR,BEV,77,150,2024
EV000920,Vantor,Arc GT,BEV,91,220,2025
EV000921,Aurex,Lumen LR,BEV,77,150,2020
EV000922,Marden,Ridge XL,BEV,105,250,2022
EV000923,Aurex,Lumen,BEV,58,120,2022
EV000924,Marden,Ridge,BEV,82,175,2021
EV000925,Vantor,Arc GT,BEV,91,220,2025
EV000926,Marden,Ridge,BEV,82,175,2026
EV000927,Marden,Ridge XL,BEV,105,250,2019
EV000928,Aurex,Lumen LR,BEV,77,150,2023
EV000929,Marden,Ridge,BEV,82,175,2020
EV000930,Selva,Corta PHV,PHEV,9,4,2023
EV000931,Selva,Corta+,BEV,52,100,2024
EV000932,Selva,Corta+,BEV,52,100,2023
EV000933,Vantor,Arc,BEV,64,135,2019
EV000934,Aurex,Lumen LR,BEV,77,150,2019
EV000935,Marden,Ridge,BEV,82,175,2025
EV000936,Marden,Ridge XL,BEV,105,250,2022
EV000937,Aurex,Lumen LR,BEV,77,150,2023
EV000938,Aurex,Lumen LR,BEV,77,150,2025
EV000939,Vantor,Arc GT,BEV,91,220,2019
EV000940,Selva,Corta+,BEV,52,100,2024
EV000941,Vantor,Arc GT,BEV,91,220,2026
EV000942,Selva,Corta PHV,PHEV,9,4,2026
EV000943,Marden,Ridge XL,BEV,105,250,2025
EV000944,Vantor,Arc PHV,PHEV,11,7,2021
EV000945,Selva,Corta+,BEV,52,100,2023
EV000946,Marden,Ridge,BEV,82,175,2022
EV000947,Selva,Corta PHV,PHEV,9,4,2020
EV000948,Aurex,Lumen,BEV,58,120,2020
EV000949,Selva,Corta+,BEV,52,100,2024
EV000950,Aurex,Lumen LR,BEV,77,150,2020
EV000951,Marden,Ridge XL,BEV,105,250,2021
EV000952,Vantor,Arc,BEV,64,135,2019
EV000953,Marden,Ridge,BEV,82,175,2025
EV000954,Vantor,Arc GT,BEV,91,220,2020
EV000955,Selva,Corta+,BEV,52,100,2024
EV000956,Marden,Ridge,BEV,82,175,2020
EV000957,Vantor,Arc PHV,PHEV,11,7,2021
EV000958,Aurex,Lumen PHV,PHEV,14,7,2022
EV000959,Selva,Corta,BEV,42,85,2024
EV000960,Marden,Ridge,BEV,82,175,2022
EV000961,Aurex,Lumen LR,BEV,77,150,2023
EV000962,Aurex,Lumen,BEV,58,120,2025
EV000963,Marden,Ridge,BEV,82,175,2022
EV000964,Vantor,Arc PHV,PHEV,11,7,2025
EV000965,Marden,Ridge,BEV,82,175,2026
EV000966,Selva,Corta,BEV,42,85,2023
EV000967,Selva,Corta+,BEV,52,100,2024
EV000968,Marden,Ridge,BEV,82,175,2024
EV000969,Selva,Corta+,BEV,52,100,2026
EV000970,Vantor,Arc GT,BEV,91,220,2022
EV000971,Marden,Ridge XL,BEV,105,250,2025
EV000972,Vantor,Arc GT,BEV,91,220,2021
EV000973,Vantor,Arc PHV,PHEV,11,7,2025
EV000974,Marden,Ridge XL,BEV,105,250,2023
EV000975,Marden,Ridge XL,BEV,105,250,2019
EV000976,Marden,Ridge XL,BEV,105,250,2024
EV000977,Marden,Ridge PHV,PHEV,18,7,2021
EV000978,Marden,Ridge PHV,PHEV,18,7,2026
EV000979,Selva,Corta,BEV,42,85,2023
EV000980,Vantor,Arc GT,BEV,91,220,2025
EV000981,Marden,Ridge,BEV,82,175,2022
EV000982,Marden,Ridge PHV,PHEV,18,7,2019
EV000983,Selva,Corta+,BEV,52,100,2023
EV000984,Aurex,Lumen,BEV,58,120,2024
EV000985,Aurex,Lumen,BEV,58,120,2024
EV000986,Selva,Corta,BEV,42,85,2019
EV000987,Marden,Ridge XL,BEV,105,250,2019
EV000988,Aurex,Lumen PHV,PHEV,14,7,2023
EV000989,Vantor,Arc GT,BEV,91,220,2022
EV000990,Selva,Corta,BEV,42,85,2025
EV000991,Selva,Corta,BEV,42,85,2020
EV000992,Aurex,Lumen,BEV,58,120,2024
EV000993,Aurex,Lumen,BEV,58,120,2020
EV000994,Selva,Corta,BEV,42,85,2019
EV000995,Selva,Corta,BEV,42,85,2023
EV000996,Marden,Ridge XL,BEV,105,250,2022
EV000997,Aurex,Lumen LR,BEV,77,150,2022
EV000998,Marden,Ridge XL,BEV,105,250,2020
EV000999,Vantor,Arc,BEV,64,135,2020
EV001000,Selva,Corta,BEV,42,85,2024
EV001001,Marden,Ridge,BEV,82,175,2022
EV001002,Aurex,Lumen LR,BEV,77,150,2024
EV001003,Selva,Corta PHV,PHEV,9,4,2022
EV001004,Selva,Corta PHV,PHEV,9,4,2024
EV001005,Marden,Ridge PHV,PHEV,18,7,2022
EV001006,Aurex,Lumen,BEV,58,120,2021
EV001007,Selva,Corta+,BEV,52,100,2021
EV001008,Marden,Ridge,BEV,82,175,2023
EV001009,Aurex,Lumen PHV,PHEV,14,7,2022
EV001010,Aurex,Lumen LR,BEV,77,150,2020
EV001011,Aurex,Lumen LR,BEV,77,150,2019
EV001012,Marden,Ridge XL,BEV,105,250,2026
EV001013,Vantor,Arc,BEV,64,135,2021
EV001014,Aurex,Lumen,BEV,58,120,2026
EV001015,Aurex,Lumen,BEV,58,120,2022
EV001016,Selva,Corta+,BEV,52,100,2019
EV001017,Selva,Corta,BEV,42,85,2026
EV001018,Marden,Ridge,BEV,82,175,2023
EV001019,Marden,Ridge XL,BEV,105,250,2026
EV001020,Aurex,Lumen,BEV,58,120,2024
EV001021,Vantor,Arc PHV,PHEV,11,7,2020
EV001022,Aurex,Lumen PHV,PHEV,14,7,2020
EV001023,Vantor,Arc PHV,PHEV,11,7,2022
EV001024,Marden,Ridge XL,BEV,105,250,2019
EV001025,Vantor,Arc GT,BEV,91,220,2021
EV001026,Vantor,Arc,BEV,64,135,2019
EV001027,Vantor,Arc PHV,PHEV,11,7,2023
EV001028,Vantor,Arc GT,BEV,91,220,2024
EV001029,Selva,Corta,BEV,42,85,2020
EV001030,Marden,Ridge,BEV,82,175,2019
EV001031,Marden,Ridge,BEV,82,175,2020
EV001032,Marden,Ridge,BEV,82,175,2022
EV001033,Selva,Corta+,BEV,52,100,2021
EV001034,Selva,Corta,BEV,42,85,2025
EV001035,Marden,Ridge XL,BEV,105,250,2024
EV001036,Vantor,Arc GT,BEV,91,220,2019
EV001037,Vantor,Arc,BEV,64,135,2022
EV001038,Vantor,Arc PHV,PHEV,11,7,2024
EV001039,Marden,Ridge XL,BEV,105,250,2026
EV001040,Marden,Ridge,BEV,82,175,2022
EV001041,Aurex,Lumen LR,BEV,77,150,2022
EV001042,Aurex,Lumen,BEV,58,120,2022
EV001043,Vantor,Arc PHV,PHEV,11,7,2026
EV001044,Selva,Corta PHV,PHEV,9,4,2022
EV001045,Vantor,Arc,BEV,64,135,2021
EV001046,Selva,Corta+,BEV,52,100,2021
EV001047,Aurex,Lumen,BEV,58,120,2023
EV001048,Vantor,Arc GT,BEV,91,220,2025
EV001049,Marden,Ridge,BEV,82,175,2022
EV001050,Vantor,Arc GT,BEV,91,220,2024
EV001051,Marden,Ridge XL,BEV,105,250,2021
EV001052,Vantor,Arc PHV,PHEV,11,7,2022
EV001053,Aurex,Lumen LR,BEV,77,150,2021
EV001054,Marden,Ridge,BEV,82,175,2019
EV001055,Vantor,Arc GT,BEV,91,220,2020
EV001056,Aurex,Lumen LR,BEV,77,150,2023
EV001057,Vantor,Arc GT,BEV,91,220,2023
EV001058,Selva,Corta,BEV,42,85,2026
